codigo_inep,escola
51051192,CASINHA FELIZ CENTRO DE ENSINO SC
35118564,CASSIANO RICARDO COLEGIO
35369226,CASTANHEIRAS ESCOLA
35159578,CASTILHO SANTOS CENTRO EDUCACIONAL
35121952,CASTRO ALVES CENTRO EDUCACIONAL
35101679,CASTRO ALVES COLEGIO
23066644,CASTRO ALVES COLEGIO
23060980,CASTRO INSTITUTO DE EDUCACAO
41048261,CASUCHA CEI EF M
32039654,CAT ARLETHE ZORZANELLI BUAIZ
32034288,CAT BARBARA MONTEIRO LINDEMBERG
32063512,CAT HELCIO REZENDE DIAS
32041390,CAT JOSE TARQUINIO SILVA
41053923,CAVANIS CEI EF M
35151725,CAVLAC COLEGIO
24078450,CDF COLEGIO E CURSO
24083186,CDF COLEGIO E CURSO
32039999,CE AGOSTINIANO
21180415,CE APRENDER PENSANDO
21266158,CE ARCO IRIS LTDA
21093040,CE BALAO MAGICO
21231575,CE CONCORDIA
32066880,CE DARWIN GRANDE VITORIA
53002571,CE DO SESI-DF - GAMA
53003551,CE DO SESI-DF - TAGUATINGA
32073968,CE INTERACAO
21226253,CE JOAO PAULO II
32052936,CE LAURO PINHEIRO
32040032,CE LEONARDO DA VINCI
32065353,CE LINUS PAULING
32070276,CE MUNDO MODERNO
51013312,CE PIAGET ENSINO DE PRIMEIRO E SEGUNDO GRAUS
32076606,CE RADIER
32039050,CE SANTA RITA DE CASSIA
32034318,CE SONHO MEU
33107319,CEBM SAO MATEUS
31274216,CEC CENTRO EDUCACIONAL CONSTRUIR
35124849,CECI COLEGIO DE ENSINO FUNDAMENTAL E MEDIO
35135636,CECILIA CACAPAVA CONDE COLEGIO EIPSG
41353560,CECILIA MEIRELES C EI EF M
35143091,CECILIA MEIRELES COLEGIO
35153473,CECILIA MEIRELES POETISA CENTRO EDUCACIONAL
31281921,CECRI C EDUC CRIATIVO
53013670,CED LEONARDO DA VINCI - UNIDADE TAGUATINGA
53086007,CED VITORIA REGIA
16009762,CEDAP - CENTRO DE EDUCACAO DO AMAPA
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA
25116746,CEDUC SANTA LUZIA - CENTRO EDUCACIONAL SANTA LUZIA
21046050,CEEFM INACIA BRAGA CANTANHEDE
31279986,CEFEM CENTRO DE FORMACAO EDUCACIONAL MACHADENSE
35135951,CEFI ESCOLA
32097603,CEFM IN PACTO
42113580,CEFRAI CENTRO DE EDUCACAO FRAIBURGO
42127831,CEI E ENSINO FUNDAMENTAL E MEDIO CORACAO FELIZ LTDA EPP
32038160,CEIC
33191182,CEIVA ESCOLA CRISTA LTDA
35151075,CELESTIN FREINET EEI E PG
35137807,CELLULA MATER COLEGIO UNIDADE II
35159585,CELTAS DE VOTUPORANGA COLEGIO
31293971,CEM - CENTRO EDUCACIONAL DE MANHUACU
29422370,CEMA
51039010,CEMA - CENTRO EDUCACIONAL MARIA AUXILIADORA
42150060,CEMAP CE MUNDO DE APRENDIZAGEM
31310891,CEMAR CENTRO EDUCACIONAL MARIO RABELO-UNIDADE II
25003828,CEMO JUNIOR CENTRO DE ESTUD MODERNOS
33188718,CEMU 2 - SIMONE NASCIMENTO GARCIA ME
14001080,CEN DE EDUC DO TRAB JOAO DE MENDONCA FURTADO - SESI
33101051,CENA - CENTRO DE ENS ATUALIZADO LTDA
43075266,CENT DE ED BAS FRANCISCO DE ASSIS
29167361,CENT EDUC SIMOES FILHO
35100161,CENTENARIO COLEGIO
26115450,CENTRO CULTURAL ALBERTO GOMES
